DISPLACEMENT,FORCE
mm, kN
0,0
0.017766667,2.870432169
0.019933333,3.198049537
0.022316666,3.511386114
0.024483333,3.83732346
0.026649999,4.159060449
0.029033334,4.469876792
0.0338,4.755492101
0.03835,5.006665248
0.045283334,5.212476495
0.05395,5.375444966
0.063483333,5.495571167
0.074533329,5.591336243
0.084933336,5.668620676
0.095766666,5.73414415
0.10638333,5.792107223
0.117433336,5.848389871
0.128266671,5.898792543
0.139533342,5.949195214
0.150366658,5.997917965
0.161633329,6.045800504
0.1729,6.092003121
0.183733329,6.135685101
0.195216658,6.181047506
0.20605,6.222209856
0.216233329,6.26001186
0.2262,6.29529373
0.235516671,6.327215254
0.245266658,6.363337337
0.254583342,6.396939287
0.264116671,6.426340677
0.27365,6.45658228
0.282966671,6.489344017
0.293150013,6.520425833
0.302899987,6.548987011
0.312216658,6.576708481
0.321316658,6.60442995
0.330850013,6.629631286
0.341033342,6.656513047
0.350566671,6.682554092
0.360316671,6.710275561
0.370283329,6.73631711
0.379816658,6.757318391
0.389566671,6.781679515
0.399099987,6.803520505
0.40885,6.824521786
0.4186,6.845523067
0.427916671,6.86820427
0.438100013,6.890045259
0.448066671,6.909366116
0.458466658,6.930367397
0.46865,6.949688253
0.477966671,6.969849322
0.488366658,6.98833047
0.498116671,7.004291484
0.508300013,7.022772128
0.518266671,7.040413063
0.528233355,7.056374077
0.538199974,7.071494879
0.548383316,7.088295601
0.559000026,7.105096828
0.569183355,7.120217629
0.579366645,7.134498219
0.589549974,7.147939099
0.599950026,7.163059901
0.610350026,7.17734049
0.620966658,7.189941158
0.630933355,7.201701613
0.641333342,7.215142494
0.651516684,7.228583374
0.661700013,7.239503617
0.672100013,7.249584152
0.682283342,7.260504898
0.692466684,7.273105566
0.702433316,7.282345888
0.712616645,7.291586714
0.72345,7.302506957
0.733416697,7.313427704
0.742950013,7.320147892
0.753566658,7.329388718
0.764183355,7.339469253
0.774583355,7.350389495
0.785633355,7.358790109
0.795816697,7.365510297
0.805999974,7.373070698
0.816616671,7.382311524
0.827016671,7.389031712
0.837850026,7.394912192
0.848466658,7.402472593
0.858866645,7.410872702
0.8697,7.418433103
0.879883342,7.422633661
0.890283329,7.42935385
0.900899974,7.43691425
0.911300026,7.441954518
0.921266658,7.446154572
0.931666645,7.453714973
0.942283342,7.45875524
0.955066684,7.465475933
0.965250026,7.469675987
0.975866658,7.473876042
0.985616645,7.480596734
0.996233342,7.484796789
1.007716645,7.488157135
1.01855,7.491516977
1.029166645,7.498237669
1.040000065,7.502437724
1.050400052,7.504957858
1.060800039,7.508318204
1.071633329,7.513358471
1.082683342,7.517558526
1.093733342,7.520078659
1.104350039,7.52175858
1.115183342,7.526798847
1.125800039,7.530999406
1.137066632,7.531839115
1.147683342,7.534359248
1.158733342,7.538559807
1.169783342,7.541919649
1.180616645,7.544439783
1.191450052,7.544439783
1.202500065,7.547800129
1.213549935,7.552000183
1.224816658,7.553680608
1.236083381,7.554520317
1.247349974,7.55536053
1.257749961,7.559560584
1.268366658,7.561241009
1.279416671,7.561241009
1.290466671,7.563761143
1.30086671,7.567120985
1.3117,7.567120985
1.3221,7.567120985
1.33336671,7.570481331
1.34463342,7.572161252
1.3559,7.573841677
1.36651671,7.573001465
1.37713342,7.572161252
1.3884,7.576361811
1.39923342,7.576361811
1.41006671,7.575521598
1.42068342,7.576361811
1.43151671,7.578881944
1.44235,7.578881944
1.45296671,7.578041732
1.46401671,7.577201519
1.47485,7.580561866
1.4859,7.580561866
1.49695,7.578881944
1.50843329,7.578881944
1.51883329,7.580561866
1.52966671,7.580561866
1.54028329,7.578041732
1.5509,7.578041732
1.56173342,7.580561866
1.57278329,7.578881944
1.58361671,7.577201519
1.59445,7.578041732
1.60615,7.578041732
1.61698329,7.577201519
1.62803329,7.573841677
1.63821671,7.573841677
1.64926671,7.574681386
1.66053329,7.572161252
1.67158329,7.569641119
1.68285,7.56880141
1.69346671,7.56880141
1.70495,7.567120985
1.71621658,7.563761143
1.72748329,7.561241009
1.7394,7.558720876
1.7498,7.558720876
1.76085,7.55536053
1.7719,7.551160475
1.78295,7.54948005
1.79443342,7.547800129
1.80526671,7.542759862
1.8161,7.538559807
1.82693342,7.536879382
1.83776671,7.53351954
1.84903329,7.52763906
1.86051671,7.522598793
1.87178329,7.518398738
1.88305,7.514198179
1.89431658,7.507477991
1.90601658,7.49991759
1.91728329,7.494037111
1.92833329,7.488157135
1.93895,7.480596734
1.95021671,7.472196121
1.96148342,7.466315641
1.97296671,7.457915532
1.98423342,7.447834997
1.99593329,7.43691425
2.00763329,7.42935385
2.01911658,7.419273315
2.03038329,7.406672647
2.04186658,7.394071979
2.05356671,7.383991445
2.06526671,7.370550564
2.07696671,7.356269975
2.08866658,7.341149174
2.10014987,7.328548506
2.11228329,7.314267917
2.12420013,7.298306902
2.13590013,7.279825755
2.14760013,7.263865245
2.15886671,7.249584152
2.17186671,7.230263295
2.18551671,7.209262014
2.20155,7.180700836
2.21563342,7.158859342
2.22971671,7.135338431
2.24358342,7.110137095
2.25745,7.084935759
2.27153342,7.058894211
2.28561671,7.032012954
2.29969987,7.003451271
2.31378329,6.974049881
2.3283,6.943808278
2.34281658,6.911046541
2.35711671,6.878284804
2.37141671,6.845523067
2.38571658,6.811921118
2.40001671,6.779159381
2.41474987,6.743037298
2.42861658,6.706915719
2.44291658,6.669953424
2.45743342,6.628791578
2.47195,6.589309149
2.48646671,6.54730709
2.5012,6.505305031
2.51571658,6.461622548
2.52958329,6.417100355
2.54496658,6.372577659
2.55905,6.326375546
2.57378329,6.277652795
2.58873316,6.227250123
2.60303329,6.17516753
2.61798329,6.122244724
2.6325,6.069321919
2.64745,6.014718688
2.66196658,5.959275749
2.67756671,5.902152889
2.69186671,5.844189816
2.70724987,5.781186476
2.72653342,5.705582468
2.74148329,5.640058994
2.75643329,5.5728556
2.7716,5.50397178
2.78720013,5.431728118
2.80258329,5.35612411
2.81796658,5.276319544
2.83399987,5.189795293
2.85003316,5.089829657
2.86693342,4.957102789
