DISPLACEMENT,FORCE
mm, kN
0,0
0.001875,0.415090433
0.003541667,0.860316144
0.007916668,1.293035514
0.011666666,1.689903209
0.01325,2.287079452
0.014375,2.788758294
0.01625,3.228981469
0.017916667,3.674207179
0.022291668,4.10692655
0.026041666,4.518866873
0.033125,4.848135811
0.042499999,5.109935032
0.055208335,5.305033939
0.072083338,5.450107485
0.087708338,5.56349847
0.105208335,5.658546655
0.123541666,5.7410885
0.141666675,5.811124005
0.160625,5.87198786
0.180833325,5.926182335
0.19875,5.972872505
0.215833325,6.011225448
0.231874988,6.041240664
0.248333338,6.069588035
0.264583338,6.095434638
0.281041675,6.117112128
0.296666675,6.137122272
0.312916663,6.154631149
0.329583338,6.168805334
0.34666665,6.182145097
0.362916663,6.194651437
0.378958338,6.206324355
0.397916663,6.214661581
0.414166675,6.223833231
0.43125,6.230503112
0.448750013,6.234671726
0.467291675,6.238840839
0.483333338,6.243009453
0.50166665,6.248011989
0.518333313,6.251347179
0.53541665,6.253014525
0.55395835,6.253014525
0.570833313,6.252180602
0.589375013,6.250513257
0.606458363,6.246344643
0.624791675,6.243843375
0.64270835,6.24217553
0.660624975,6.238006917
0.677291688,6.237172994
0.696250013,6.230503112
0.715208338,6.228001844
0.731458363,6.222165386
0.748541638,6.215495504
0.766875025,6.211326891
0.784583325,6.202155241
0.8025,6.199653973
0.821250013,6.191316747
0.83770835,6.187147633
0.856666675,6.176309138
0.873541638,6.167971412
0.893124988,6.157132417
0.91041665,6.147961267
0.92895835,6.138790118
0.947708363,6.128785046
0.964583325,6.117946051
0.983541663,6.106273633
1.002291675,6.095434638
1.020416613,6.082094376
1.038750038,6.070421958
1.057708375,6.057915618
1.0752083,6.041240664
1.093749988,6.029567747
1.112499938,6.015394061
1.12958335,5.99955253
1.148750063,5.982877577
1.16583335,5.960366165
1.185208313,5.943691211
1.204583275,5.924514489
1.222499963,5.903670922
1.240833388,5.884494201
1.260416625,5.858648098
1.278125,5.833635417
1.297916625,5.808622737
1.314166625,5.780274866
1.3325,5.752760917
1.35229175,5.726914314
1.371041625,5.698566943
1.388958375,5.666883882
1.409166625,5.636868665
1.428125,5.607687371
1.446875,5.575170887
1.464375,5.543488325
1.48375,5.506802727
1.50270825,5.470951552
1.520625,5.430097341
1.539375,5.390077052
1.55895825,5.351724109
1.576875,5.310036475
1.595625,5.268348841
1.615625,5.225827285
1.63416675,5.182471805
1.65333325,5.137448981
1.673125,5.089090965
1.6925,5.038232182
1.712083375,4.988206821
1.731041625,4.93818146
1.750625,4.884820909
1.76875,4.830626935
1.787916625,4.774765115
1.8075,4.715568605
1.826458375,4.661374131
1.844791625,4.607180157
1.864166625,4.548817069
1.884583375,4.487953214
1.904375,4.427088858
1.92395825,4.362889812
1.944375,4.292854307
1.963541625,4.222818802
1.984166625,4.151949374
2.004375,4.078578879
2.023541625,4.006042106
2.042708375,3.928502796
2.06458325,3.850963487
2.084791625,3.769255365
2.109375,3.671705911
2.13583325,3.563317663
2.15979175,3.455763138
2.186041625,3.339870985
2.210208375,3.222311387
