JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,SLOPE,MAPE,ROC_BEGIN,ROC_THREE,KAPPA,SIM_TIME
1,0.9,0.9,0.81,0.25,0.1,0.03,0.0013,0.0,6.923641001677499,,,2.5,45.87079668045044
2,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,755.1501244267201,17.21140828470179,,,2.5,35.49758553504944
3,0.9,0.9,2.5600000000000005,0.4,0.2,0.03,0.0013,0.0,6.312202343258416,,,2.5,45.77086520195007
4,0.9,1.1,0.81,0.4,0.2,0.03,0.0015,755.1501244267201,18.07903416970872,,,2.5,25.250350952148438
5,0.9,1.1,2.5600000000000005,0.25,0.2,0.09,0.0013,755.1501244267201,17.060236230260436,,,2.5,25.483302116394043
6,0.9,1.1,2.5600000000000005,0.4,0.1,0.09,0.0015,0.0,7.683287687284161,,,2.5,57.57266020774841
7,1.6,0.9,2.5600000000000005,0.4,0.1,0.03,0.0015,755.1501244267201,18.128904371424092,,,2.5,22.832229614257812
8,1.6,0.9,2.5600000000000005,0.25,0.2,0.09,0.0015,0.0,12.588459133479775,,,2.5,46.95587420463562
9,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,755.1501244267201,17.246891821783016,,,2.5,27.352112293243408
10,1.6,1.1,2.5600000000000005,0.25,0.1,0.03,0.0013,755.1501244267201,17.58608639475604,,,2.5,29.58761477470398
11,1.6,1.1,0.81,0.4,0.1,0.09,0.0013,0.0,8.443982109116684,,,2.5,49.35490131378174
12,1.6,1.1,0.81,0.25,0.2,0.03,0.0015,0.0,8.767534046182563,,,2.5,49.42478537559509
