JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,SLOPE,MAPE,ROC_BEGIN,ROC_THREE,KAPPA,SIM_TIME
9,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,799.0196769,3.162912196,-1.85827779,-1.995910523,2.5,44.88216782
115,1.388201555,1.071568379,2.480190449,0.272491603,0.178349948,0.038954258,0.001388225,515.8425893,3.778775636,-0.125003148,-5.744978013,2.5,59.60763812
2,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,799.0196769,4.723859896,-13.30527462,nan,2.5,39.38880134
10,1.6,1.1,2.56,0.25,0.1,0.03,0.0013,799.0196769,4.83721974,-1.465768308,-2.173777891,2.5,37.92313957
5,0.9,1.1,2.56,0.25,0.2,0.09,0.0013,799.0196769,5.923379374,-3.026438785,-0.34107987,2.5,39.55571747
69,0.988349763,0.977185462,1.133896458,0.259845188,0.156179721,0.066756449,0.001381941,65.43568338,6.506896672,-0.169444674,-4.270134681,2.5,33.87425137
28,0.935609336,0.962272218,0.852177239,0.308491247,0.188624082,0.079621069,0.001400919,0.075621414,6.516686883,-0.426386949,-1.252631776,2.5,37.83268046
139,1.041839833,0.90181634,1.078756119,0.2572308,0.188153427,0.05352343,0.001419322,70.04468291,6.520417235,-0.083396502,-0.023696646,0,44.64213276
173,0.932091403,0.910223025,1.219041674,0.2557568,0.131867336,0.0621959,0.001478799,68.73944016,6.522034434,-0.066901745,-0.036580502,2.5,41.44043398
143,1.027872216,0.989070959,0.811878915,0.322295007,0.191787056,0.071290664,0.001348384,70.11342889,6.524835003,-0.081016194,-2.47902201,2.5,39.3861866
168,0.924798523,0.91247747,0.82504999,0.26622843,0.162684359,0.057598558,0.001394233,68.27149592,6.527450968,-0.068872357,-1.594773677,2.5,42.13517451
35,0.937714095,1.021902922,1.027964088,0.277815985,0.190231868,0.056902217,0.001334575,64.94068011,6.528180501,-0.338263353,-0.04419316,2.5,42.32690763
58,0.933318861,1.046943538,0.894805936,0.302845956,0.151028991,0.07822798,0.001474669,65.41442618,6.528636708,-0.201763119,-0.039467882,0,37.79494953
193,1.078945984,1.054658185,0.85231765,0.291724448,0.181701297,0.054816809,0.001430108,69.51430704,6.530096415,-0.059890823,-0.032051262,2,36.03132176
181,1.002333969,0.907851083,0.887077442,0.280163059,0.147235589,0.058886611,0.001361889,69.11274255,6.532674103,-0.063869225,-4.398190694,2.5,50.76186371
68,0.987738656,0.919589586,1.041576075,0.252381768,0.119072795,0.050629495,0.001322559,65.02341284,6.538236716,-0.171505937,-2.122834741,2.5,37.89899445
64,0.980479742,0.914291599,0.971448627,0.291308791,0.137024578,0.068886407,0.001450776,65.16093349,6.539094319,-0.18238159,-0.010646064,0,44.50612378
195,1.072509884,0.916594178,0.847597248,0.328903712,0.172449765,0.065184261,0.0014009,68.65679045,6.543991084,-0.05920177,0.006947334,1,35.89465189
17,0.981545223,0.917380569,1.175436311,0.257972975,0.192401203,0.042337755,0.001496374,0.215680583,6.544596848,-0.717783604,-0.015979059,1,31.7823925
31,0.995202057,1.065883446,0.846285622,0.330830713,0.185187021,0.061778231,0.001389318,61.86249109,6.545586184,-0.382784944,-4.33785419,0,35.90294027
24,1.349855789,0.995072667,2.415992764,0.257666429,0.109287112,0.042711853,0.001390375,0.055576306,6.546172768,-0.499259206,-0.027816141,0.5,35.74850082
102,0.913371699,0.959200376,1.172806201,0.265536609,0.19900612,0.043668227,0.00140618,260.3126258,6.549304604,-0.113661682,-1.513877741,2.5,39.16530061
54,0.961942638,0.926951805,1.157673988,0.264849349,0.111367602,0.057575285,0.001348229,65.11971238,6.551737274,-0.216554665,-0.032754957,2.5,35.70372725
96,0.972633553,0.924416678,0.87908044,0.250770233,0.19211894,0.036533027,0.001349826,65.81633636,6.552325661,-0.120808514,-4.317215388,2.5,33.7999351
136,1.068185221,0.909435867,0.924668706,0.257457714,0.173528822,0.033567075,0.001382104,75.26407587,6.55423573,-0.08499925,-1.097300881,2.5,44.86487341
97,1.032671711,0.99162839,0.917060062,0.348930874,0.190499721,0.059131873,0.001447318,65.31835935,6.555844731,-0.119513435,-4.37476493,2,38.35585308
92,0.900793024,1.054724764,1.140655619,0.309794255,0.182151822,0.05190131,0.001431093,65.34184283,6.556207629,-0.12607612,-0.013997342,0,33.83228874
21,1.585565403,1.065930515,2.374020362,0.360367157,0.196200912,0.044249728,0.00148535,0.438730632,6.556491252,-0.573632163,-0.013945637,2.5,29.69082046
142,0.923348934,0.965170382,0.892259312,0.267222167,0.190732163,0.037514074,0.001410897,71.4041989,6.559136662,-0.081347503,-1.541707435,2.5,48.39764428
62,0.990891536,0.959248261,1.158956879,0.297121262,0.126101525,0.062212812,0.001309822,66.92990092,6.560386448,-0.188012263,-2.406805166,2.5,47.2296567
88,0.934791617,0.979285578,0.86823456,0.294736431,0.143925978,0.050022982,0.001349413,56.08008126,6.561707847,-0.131809502,-0.02590301,2.5,39.81636953
41,0.956477802,1.040180177,0.837189906,0.274283737,0.143025061,0.039618915,0.001421263,62.54327695,6.563184743,-0.286648744,-1.271115183,2.5,35.75927973
178,0.986897902,0.984552451,0.861633753,0.308816779,0.154937057,0.047810869,0.001440321,68.97573736,6.565497317,-0.064766312,-2.827597605,1.5,44.08456421
114,1.032202685,0.974946032,0.852818223,0.30486572,0.177123146,0.03984726,0.001441246,67.27217355,6.565559754,-0.101447564,-4.304165483,2.5,43.65768313
203,1.020435671,0.926703714,0.883126991,0.275795384,0.109823515,0.053958397,0.001373043,67.90343406,6.567584447,-0.056740347,-2.238163015,0,43.9470613
137,0.979051584,0.948827511,0.814136752,0.345126944,0.184833504,0.053592891,0.001459656,74.26470134,6.567810526,-0.084274441,-4.34991265,2.5,42.37003756
43,0.905198292,0.900621259,1.077743185,0.331172891,0.196622452,0.047985561,0.001381961,72.6310093,6.568856906,-0.272863753,0.002836081,0,37.84178591
